,index,Question,Nome_Tópico,llama_categoria,llama_justificativa,llama_resposta,qwen_categoria,qwen_justificativa,groudthruth
2,12,Não ter redes sociais pode ser um problema em processos seletivos para vagas de emprego/estágio?,0_faculdade_fazer_emprego_trabalho,grau 1,resposta clara,"sim, pois muitas empresas usam redes sociais para avaliar candidatos",grau 1,a resposta pode ser verificada com dados concretos,"Sim, muitas empresas pedem redes sociais como Linkedin para avaliar. "
11,65,O quanto saber alemão e francês ajuda na carreira acadêmica?,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,pode ajudar em algumas areas mas nao e garantia de sucesso,grau 2,depende do contexto e area de atuacao,"Saber multíplicas linguas pode lhe ajudar no universo profissional para se comunicar com profissionais desses paises, se surgir uma oportunidade de bolsa de estudos na França ou na Alemanha."
12,72,As empresas ainda contratam Júnior?,0_faculdade_fazer_emprego_trabalho,grau 1,resposta clara,"sim, empresas contratam profissionais junior",grau 1,pergunta clara e verificavel,"Sim, as empresas contratam profissionais juniores."
19,122,Quanto tempo preciso pra elaborar um projeto de mestrado?,0_faculdade_fazer_emprego_trabalho,grau 2,depende do contexto,"o tempo varia dependendo do tema, metodologia e comprometimento do aluno",grau 2,depende do contexto e variaveis individuais,"A duração de um mestrado normalmente no Brasil é de 2 anos, mas isso vai depender da instituição e do curso. "
20,129,Tem alguma outra forma de conseguir bolsa de doutorado sem ser as ofertadas pelo programa de pós graduação?,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,"sim, existem outras formas como bolsas de agencias de fomento, empresas ou instituicoes internacionais",grau 2,depende de contexto especifico,"Sim, existem outras bolsas que são financias por empresas privadas ou pelo governo."
21,132,O que devo aprender para entrar no mercado de trabalho da programação?,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,"depende da area de programacao e das demandas do mercado, mas geralmente linguagens como python, java e habilidades em desenvolvimento web sao valorizadas",grau 2,depende de contexto especifico,"Normalmente se começa com linguagem de programação básicas como python, java e c++."
28,186,"Para estágio, vale a pena focar em C#?",0_faculdade_fazer_emprego_trabalho,grau 2,depende do contexto,"depende da area e demanda local, mas c# e relevante para desenvolvimento de software",grau 2,depende do contexto do mercado e demanda,Depende da descrição da oferta e o que está sendo pedido no seu estágio. C# é muito usado para a área de desenvolvimento de aplicativos.
30,189,As universidades públicas aceitam de boa mestrando que trabalha?,0_faculdade_fazer_emprego_trabalho,grau 2,depende da universidade,"sim, mas depende das regras de cada programa",grau 2,depende de politicas especificas,"Sim, normalmente bons profissionais são aceitos em faculdades públicas mas é bom ter uma boa relação com um professor e passar no concurso de admissão do mestrado."
31,190,É difícil conseguir emprego ou estágio no mestrado?,0_faculdade_fazer_emprego_trabalho,grau 2,depende do contexto,a dificuldade varia dependendo da area de estudo e da demanda do mercado de trabalho,grau 2,depende de variaveis como area de estudo e mercado,Depende da sua área de atuação.
46,287,"Para os devs que fizeram ou fazem graduação em TI, como conciliaram os estudos da faculdade e o estudo por fora?",0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,as estrategias variam muito de pessoa para pessoa,grau 3,pergunta opinativa e aberta,Organize seu tempo fazendo agenda das atividades que você tem que completar por dia e semanas. Priorize as atividades mais importantes.
