,index,Question,Nome_Tópico,llama_categoria,llama_justificativa,llama_resposta,qwen_categoria,qwen_justificativa,groudthruth
37,521,como se demitir de um estágio?,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,"para se demitir de um estagio, avise com antecedencia, escreva uma carta de demissao e cumpra as formalidades da empresa",grau 1,procedimento claro e verificavel,Falte o trabalho vários dias e não dê justificativa.
38,217,como implementar uma instancia de leitura e uma de escrita do banco de dados no Laravel 7.4,0_faculdade_fazer_emprego_trabalho,grau 1,pergunta tecnica,,,,"O primeiro passo é acesser a configuração/database do projeto, adicione uma conexão escrita e leitura."
39,346,top 5 notbooks para programar com i7 até 5.500 R$,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,nao se aplica,grau 3,pergunta nao relacionada ao tema e subjetiva,"Dê uma olhada nas marcas Dell, Lenovo e Hp, e escolha a melhor opção."
40,32,O que eu preciso aprender para fazer um sistema de estoque e vendas para um estabelecimento?,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,"precisa aprender programacao, banco de dados e sistemas de gerenciamento de estoque",grau 2,depende de contexto especifico,Gerenciamento de estoques.
41,426,Como estudar estruturas de dados?,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,"existem varios metodos como praticar exercicios, ler livros e assistir cursos",grau 3,pergunta aberta e opinativa,Comece estudando fundamentos de dados.
42,502,A altura e profundidade de um Node em uma BST são inversamente proporcionais?,0_faculdade_fazer_emprego_trabalho,grau 1,conceito definido,nao se aplica,grau 3,pergunta nao relacionada ao tema,"Não, são inversamente proporcionais."
43,292,"Por que europeus e norte-americanos atuais são dependentes de uso de gás pra aquecimento mas povos mais antigos (como celtas, europeus medievais, esquimós e outros povos antigos que sobreviviam em climas frios) conseguiam sobreviver sem precisar de gás pra aquecimento?",0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,nao e possivel responder objetivamente pois a pergunta nao se relaciona diretamente com faculdade fazer emprego trabalho e e opinativa,grau 3,pergunta nao relacionada ao tema e opinativa,Porque o povo usava roupas de peles de animais e faziam fogueiras para se aquecer.
45,148,"Trabalho em uma empresa pública no Brasil, como posso contratar uma empresa para prestar um serviço de engenharia na empresa que eu trabalho?",0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,a pergunta nao se encaixa no tema especificado e requer informacoes especificas sobre regulamentos e processos da empresa,grau 3,pergunta nao relacionada ao tema e aberta,Primeiro deverá pesquisar quais empresas prestam o serviço que sua empresa necessita.
46,746,Faz sentido clean architecture em frameworks como Rails e Laravel?,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,a pergunta nao se relaciona diretamente com faculdade fazer emprego trabalho,grau 3,pergunta opinativa e fora do tema,"Sim faz sentido, pois melhora a manutenibilidade,  legibilidade e colaboração do código."
47,261,Como entrevistar candidatos a estágio para vaga de tecnologia? Que tipo de perguntas fazer para pessoas sem experiência e ao que devo me atentar nos candidatos e respostas para saber se o perfil é adequado?,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,"nao ha uma resposta unica. depende do contexto da empresa e do cargo. geralmente, avaliar habilidades tecnicas basicas, raciocinio logico e entusiasmo pelo campo sao pontos importantes",grau 3,pergunta opinativa e aberta,"Primeiro perguntar se o candidato já aprendeu sobre as linguagens exigidas no cargo, se já participou de algum projeto durante a faculdade e qual a sua pretensão no estágio."
48,428,1° ano do ensino médio. O que devo aprender pra me preparar pro mercado de trabalho?,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,depende das areas de interesse e demanda do mercado,grau 3,pergunta opinativa e aberta,Simplesmente estudar o que se é ministrado em sala de aula. Ainda é cedo para pensar no mercado de trabalho.
49,43,Como organizar e planejar os estudos?,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,existem varias tecnicas mas depende do individuo,grau 3,pergunta opinativa e aberta,Fazer um horário de estudos ao qual engloba todas as matérias de interesse.
50,351,"Meu tcc trata-se de uma especie de fechadura pro aproximação. Numa empresa com varios departamentos, o funcionario mostraria seu cracha para uma camera, e se tiver permissão abriria a porta. Quais assuntos posso desenvolver?",0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,"voce pode explorar temas como tecnologia de reconhecimento facial, sistemas de controle de acesso, seguranca de dados e privacidade",grau 3,pergunta opinativa e aberta,Primeiramente eu iria pesquisar sobre equipamentos de segurança e qual a sua importância.
51,563,"Não tenho qualificação mas preciso de um emprego, me indiquem empregos por favor e como conseguir?",0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,"existem varias opcoes de empregos sem qualificacao especifica como atendente, auxiliar de limpeza ou entregador. para conseguir, busque vagas em sites de empregos, faça networking e esteja aberto a oportunidades",grau 3,pergunta opinativa e aberta,Primeiro procure um emprego onde a exigência é baixa e comece a estudar na área que almeja.
52,651,Suponha que você viva numa civilização em que LLMs (large language models) acabaram de ser inventadas e você é um dos primeiros a ter acesso a uma LLM. Quais seriam algumas ideias de usar deste acesso para ganhar dinheiro?,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,nao e possivel responder objetivamente,grau 3,pergunta opinativa e aberta,Iria automatizar diversas tarefas para ganhar tempo e eficiência
53,211,Gere anúncios atraentes para suas campanhas do Google para empresa de moda intima,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,nao aplicavel,grau 3,pergunta nao e causal e e criativa,Fique mais linda apenas usando sua loungerie.
54,176,"faça um roteiro de um story de 1 minuto eu apresentando a nova comunidade nutrimart aonde é uma rede social que tem vários cursos e os nutricionistas podem se atualizar lá dentro, quero com a contagem de segundo de cada cena.",0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,nao e possivel responder de forma objetiva pois a pergunta nao se enquadra no tema e e muito aberta,grau 3,pergunta nao relacionada ao tema e nao objetiva,Começaria falando dos benefícos da comunidade e exemplificando como é salutar participar de rede onde há atualizações da profissão.
55,680,Quais conhecimentos são úteis pra de fato fazer um trabalho mais eficiente?,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,"conhecimentos especificos da area, habilidades de comunicacao e resolucao de problemas sao geralmente uteis",grau 2,depende do contexto do trabalho,Ter conhecimento do assunto e ter exemplo práticos para enfatixar o conhecimento.
56,732,"Se eu settar o makeflags para 3 jobs, tendo apenas 2 thread da cpu, compilaria mais rápido? Eu tenho 4GB, então ele usaria 2 jobs dividindo isso e sobra um parado? Não ajudaria pra compilar mais rápido? porque faria o computador usar 100% quase sempre. Isso pode danificar as peças?",0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,nao e possivel responder objetivamente sem mais contexto sobre o sistema e uso,grau 3,pergunta mistura temas e efeitos complexos," A resposta da primeira pergunta é não. O ideal é rodar o número de jobs de acordo com a thread da cpu. A segunda resposta é não também, 4 GB é usado para tarefas básicas e não compila mais rápido. E não prejudicas as peças. O que pode prejudicar as peças são alguns tipos de jogos."
57,202,Como lidar quando a incompetência de outras pessoas afeta seu trabalho?,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,"nao ha uma resposta unica, depende do contexto e das habilidades de comunicacao e lideranca",grau 3,pergunta opinativa e aberta,"Fazer o seu melhor, pois quando o profissional não é bom, fica claro que o problema é ele."
58,51,Como saber se o meu setor é estratégico para a empresa?,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,analise a missao da empresa e a importancia do seu setor para os objetivos principais,grau 2,depende de contexto especifico da empresa,"Verifique se seu setor contribuiu diretamente com os objetivos de longo prazo da empresa, como por exemplo, expandir a participação de mercado."
59,642,Com as APIs do ChatGPT eu consigo criar um bot que se conecta com o inventário da loja e sugere produtos para o cliente segundo a sua necessidade?,0_faculdade_fazer_emprego_trabalho,grau 1,pergunta tecnica e objetiva,nao e possivel responder dentro do tema especificado,grau 3,pergunta nao relacionada ao tema e aberta,Sim consegue.
60,396,"Por que às vezes ocorre o erro ""There was an error generating a response"" enquanto você está respondendo?",0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,nao e possivel responder dentro do tema especificado,grau 3,pergunta nao relacionada ao tema e opinativa,Ocorre quando o modelo tem que elaborar uma resposta grande ou pesada
61,98,Desejo criar uma landing page para vender meu curso pela internet. Como eu faço isso?,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,existem varias formas de criar uma landing page dependendo das suas habilidades e recursos,grau 3,pergunta vaga e opinativa,Seja direto e conciso focando na conversão.
62,609,Spring Boot é mais complexo/difícil do que ASP.NET Core?,0_faculdade_fazer_emprego_trabalho,grau 2,comparacao subjetiva,a complexidade depende do conhecimento e experiencia do programador,grau 3,pergunta opinativa e depende de contexto pessoal,"Não exsite um consenso sobre qual é mais difícil, irá depender da experiência do usuário."
64,19,"Como armazenar receitas considerando um banco de dados com itens disponíveis, sendo eles nome do ingrediente, marca ou fornecedor do ingrediente, unidade de uso do ingrediente no sistema usual de medidas e preços em moedas locais ou estrangeiras",0_faculdade_fazer_emprego_trabalho,grau 1,pergunta clara e objetiva,nao aplicavel,grau 3,pergunta nao relacionada ao tema e excessivamente aberta,Terá que fazer uma modelagem de dados criando tabelas para organizar e não haver repetições.
