,index,Question,Nome_Tópico,llama_categoria,llama_justificativa,llama_resposta,qwen_categoria,qwen_justificativa,groudthruth
0,612,Por que temos tão pouco conteúdo em pt-br sobre FPGA/SoC?,0_faculdade_fazer_emprego_trabalho,grau 2,falta de dados especificos,"a quantidade de conteudo depende de varios fatores como interesse do publico, especializacao dos autores e demanda do mercado",grau 3,pergunta opinativa e aberta,Há pouco conteúdo em pt-BR sobre FPGA/SoC porque é um nicho técnico dominado por materiais em inglês e com pouca comunidade local.
1,27,Como posso somar valores únicos de uma coluna em uma base de dados no Data Studio?,0_faculdade_fazer_emprego_trabalho,grau 1,pergunta objetiva,nao se aplica,grau 3,pergunta nao relacionada ao tema,Use SUM(UNIQUE(coluna)) ou crie uma métrica com SUM_DISTINCT no Data Studio.
2,303,como criar uma pcb,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,nao se aplica,grau 3,pergunta nao relacionada ao tema e muito aberta,Use softwares como KiCad ou EasyEDA; desenhe o esquema e gere os arquivos Gerber para fabricação.
3,564,Onde encontro cursos bons e gratuitos? (Sem ser na enap),0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,existem varias plataformas online com cursos gratuitos mas a qualidade pode variar,grau 3,pergunta vaga e opinativa,"Plataformas como Coursera, edX, Udemy (gratuitos com cupons) e YouTube têm ótimos cursos."
4,76,Preciso de um texto tipo capítulo de livro sobre como escrever um resumo de tcc,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,nao e possivel responder de forma objetiva a essa pergunta,grau 3,pergunta pede um texto extenso e nao uma resposta objetiva,"Escreva de forma clara, resumindo objetivos, metodologia, resultados e conclusões; cite autores relevantes."
5,361,Como começar minha carreira de programação?,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,"estude linguagens de programacao, faça projetos praticos e busque oportunidades de estagio ou trabalho",grau 2,depende de contexto pessoal,"Comece com lógica de programação e Python, depois pratique com projetos simples."
6,565,"como lidar com as loucuras de arquivos pdf, engenharia de dados/extração de dados/integração",0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,nao ha uma resposta objetiva para lidar com todas as situacoes de arquivos pdf em engenharia de dados,grau 3,pergunta vaga e opinativa,"Use ferramentas de ETL (Airbyte, Talend, Python com Pandas) e controle versões dos scripts."
7,522,"Tenho um conjunto de 4 pontos (coordenadas x e y), que formula do excel poderia usar para encontrar o 3º ponto desse conjunto, dado que tenho a inclinação da reta que interpola esses 4 pontos, os 2 primeiros e o último é igual ao terceiro?",0_faculdade_fazer_emprego_trabalho,grau 1,formula especifica,nao e possivel responder dentro do contexto especificado,grau 3,pergunta nao relacionada ao tema e muito especifica,Use a equação da reta: y - y1 = m(x - x1) e isole o ponto desconhecido com base na inclinação.
8,379,Growth marketing Hacker para jóias e moda feminina dados para os próximos anos,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,nao e possivel responder objetivamente sem mais contexto,grau 3,pergunta vaga e opinativa,"Foque em marketing digital, TikTok, Instagram e personalização de conteúdo."
9,80,Como lidar com o aumento constante do escopo do projeto?,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,nao se aplica,grau 3,pergunta nao relacionada ao tema e subjetiva,Use gestão ágil e priorização; renegocie prazos para conter o escopo.
10,737,Como escolher e aguentar a faculdade visando apenas mercado de trabalho e concurso?,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,depende dos interesses e objetivos pessoais,grau 3,pergunta opinativa e aberta,Escolha o curso que dê base sólida e garanta estabilidade ou empregabilidade conforme seu objetivo.
11,274,Como começar a estudar sistemas embarcados,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,existem varias formas de comecar dependendo dos interesses e recursos disponiveis,grau 3,pergunta aberta e opinativa,"Comece estudando microcontroladores, eletrônica digital e programação em C."
12,636,Estou estudando matemática para o Enem. Me faça uma lista dos principais assuntos que devo estudar em ordem de prioridade,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,a prioridade depende dos seus pontos fortes e fracos,grau 3,pergunta opinativa e aberta,"Priorize: aritmética, álgebra, funções, geometria, estatística e probabilidade."
13,798,"se tivermos que resumir um único valor para uma distribuição de MonteCarlo, qual seria o melhor? A média ou o ""mais provável""?",0_faculdade_fazer_emprego_trabalho,grau 1,pergunta objetiva,,,,Depende do contexto: use a média para centralidade e o valor mais provável se quiser o pico da distribuição.
14,167,COMO UTILIZAR A FUNÇÃO SUBSTITUIR EM EXCEL,0_faculdade_fazer_emprego_trabalho,grau 1,pergunta tecnica,nao aplicavel,grau 3,pergunta nao relacionada ao tema e nao causal,Use SUBSTITUIR(texto; texto_antigo; texto_novo) no Excel.
15,0,"Eu trabalho em uma empresa chamada nerraW. Preciso fazer um review no glassdoor e gostaria de ajuda na elaboração do mesmo. Nesta empresa a cultura é boa, tecnologia muito ruim e sinto o discurso da liderança diferente do que é praticado no dia a dia. ",0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,nao e possivel responder objetivamente pois a pergunta nao se enquadra no tema especificado e e opinativa,grau 3,"pergunta opinativa e nao relacionada a causalidade entre faculdade, emprego e trabalho","Destaque cultura positiva, mas cite que a tecnologia é fraca e há desconexão entre discurso e prática."
16,583,"Redação sobre Trabalhos de casa. Para que servem, e quais são as vantagens e desvantagens ",0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,a resposta depende de diversos fatores pessoais e contextuais,grau 3,pergunta opinativa e aberta,Servem para aprendizado autônomo; vantagens: flexibilidade. Desvantagens: distrações e falta de socialização.
17,204,2 / 2Como monitorar uma plantação de longo alcance?,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,nao e possivel responder objetivamente sobre monitoramento de plantacao neste contexto,grau 3,pergunta nao relacionada ao tema e aberta,"Use drones, sensores IoT e imagens de satélite com análise via software agrícola."
18,621,como validar com sql se os dados da tabela A estão em B,0_faculdade_fazer_emprego_trabalho,grau 1,pergunta objetiva,nao se aplica,grau 3,pergunta nao relacionada ao tema,SELECT * FROM A WHERE coluna NOT IN (SELECT coluna FROM B) para validar.
19,409,"2 / 2Como posso construir confiança e credibilidade com potenciais clientes nas redes sociais, antes de fazer uma oferta de alto valor?",0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,"existem varias estrategias como compartilhar conteudo de valor, engajar com a comunidade e demonstrar experiencia",grau 3,pergunta opinativa e aberta,"Gere valor com conteúdo gratuito, prova social e interações genuínas antes de vender."
20,766,Como fazer pra orientar/co-orientar monografias?,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,depende das habilidades do orientador e das necessidades do aluno,grau 3,pergunta opinativa e aberta,"Auxilie alunos, revise textos e ajude na metodologia com feedback constante."
21,681,Como cobrar pela análise estatística?,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,depende do contexto e dos valores de mercado,grau 3,pergunta vaga e opinativa,Baseie o preço no tempo gasto e complexidade; cobre por hora ou projeto.
22,87,Quando é a hora de pedir aumento?,0_faculdade_fazer_emprego_trabalho,grau 2,depende de contexto,"depende de fatores como desempenho, mercado e relacao com o empregador",grau 3,pergunta depende de contexto pessoal e situacional,Quando seu desempenho estiver acima da média e o mercado valorizar seu cargo.
23,247,Dev só arranja emprego se tiver contatos?,0_faculdade_fazer_emprego_trabalho,grau 1,pergunta objetiva,"nao necessariamente, mas contatos podem ajudar",grau 2,depende de contexto e variaveis,"Contatos ajudam, mas projetos no GitHub e portfólio também atraem vagas."
24,555,Como conseguir clientes para meus trabalhos?,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,existem varias estrategias como marketing digital e networking,grau 3,pergunta opinativa e aberta,"Use redes sociais, indicação e mostre resultados anteriores."
25,793,Qual o cargo entre o Gerente de Tecnologia e o Analista Senior de Tecnologia? Considere uma empresa multinacional farmacêutica e não uma empresa cujo core seja tecnologia para pensar na organização da área de Tech,0_faculdade_fazer_emprego_trabalho,grau 1,estrutura organizacional,"o cargo pode variar, mas geralmente e entre eles esta o coordenador de tecnologia ou o especialista senior",grau 2,depende do contexto da empresa,"O cargo de Gerente é acima do Analista Sênior, com foco em gestão e estratégia."
26,781,Como construir um portfolio pra ser aceito no mestrado?,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,"inclua trabalhos relevantes, projetos e experiencias que demonstrem habilidades e conhecimento na area do mestrado",grau 2,depende do contexto do mestrado,"Mostre projetos, artigos e carta de motivação alinhada à linha de pesquisa."
27,188,2 / 2me ajude a planejar um projeto com arduino para coleta de dados em uma solução em nuvem afim de fazer analise de dados,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,nao e possivel responder objetivamente sem mais detalhes,grau 3,pergunta vaga e opinativa,"Use Arduino com sensores, envie dados via Wi-Fi para um banco em nuvem (ex: Firebase)."
28,352,"PJ, CLT e concurso público: como ponderar os prós e os contras?",0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,a escolha depende de preferencias pessoais e objetivos de carreira,grau 3,pergunta opinativa e aberta,CLT dá estabilidade; PJ tem flexibilidade; concurso tem segurança e benefícios.
29,782,Como posso iniciar trabalhando com suporte tecnico?,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,"pesquise requisitos da area, faça cursos e busque oportunidades de entrada",grau 2,precisa de contexto pessoal,"Comece estudando hardware, redes e atendimento remoto; busque certificações."
30,607,"Por que os discos rígidos da IBM em 1956 eram muito pesados e hoje temos cartões de memória com capacidade muito superior, mesmo sendo fisicamente pequenos?",0_faculdade_fazer_emprego_trabalho,grau 1,evolucao tecnologica,"a pergunta nao se relaciona ao tema de faculdade, emprego ou trabalho",grau 3,pergunta nao relacionada ao tema,A evolução tecnológica reduziu tamanho e aumentou densidade de armazenamento.
31,105,Quais estratégias usam para compreender código legado?,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,nao e possivel responder objetivamente sem contexto especifico,grau 3,pergunta vaga e nao especifica sobre faculdade ou emprego,"Leia o código, adicione logs e testes; converse com quem o mantém."
32,229,Aja como um especialista em marketing digital. Dê ideias de vídeos curtos sobre contabilidade.,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,nao e possivel responder objetivamente,grau 3,pergunta opinativa e aberta,"Fale de temas como impostos, dicas financeiras e curiosidades de contabilidade."
33,759,Quero trabalhar em banco oq eu faço?,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,depende dos interesses e objetivos pessoais,grau 3,pergunta opinativa e aberta,"Estude economia, matemática financeira e faça estágios em instituições financeiras."
34,61,Como atuar em Saúde Pública ?,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,depende da area especifica e das habilidades individuais,grau 3,pergunta vaga e aberta,"Forme-se em saúde, estude políticas públicas e busque vagas em órgãos do SUS."
35,254,Quais ações educativas seriam adequadas para centros municipais de educação infantil  ?,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,depende das necessidades especificas de cada centro e contexto local,grau 3,pergunta opinativa e aberta,"Proponha atividades lúdicas, inclusão e formação cidadã."
36,478,Pessoas que NAO trabalham em empregos home office pretende mudar de área só para conseguir trabalhar home?,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,a resposta varia de pessoa para pessoa e depende de diversos fatores pessoais e profissionais,grau 3,pergunta opinativa e aberta,"Sim, muitas pessoas mudam de área buscando flexibilidade e equilíbrio com o home office."
