,PERGUNTA,Nome_Tópico,groundtruth,groundtruth_modelo,annot_causal,annot_action_class,annot_pearl_class,ROUGE-L,BERTScore-F1,CosineSim,Corretude_score
0,Por que temos tão pouco conteúdo em pt-br sobre FPGA/SoC?,0_faculdade_fazer_emprego_trabalho,Há pouco conteúdo em pt-BR sobre FPGA/SoC porque é um nicho técnico dominado por materiais em inglês e com pouca comunidade local.,"
A escassez de conteúdo em português sobre FPGA/SoC se deve a diversos fatores, incluindo a baixa demanda do mercado brasileiro, o alto custo de desenvolvimento e a concentração de materiais em inglês, idioma predominante na literatura técnica e comunidades de desenvolvedores. Além disso, a complexidade inerente a essas tecnologias exige profissionais especializados, limitando a produção de conteúdo acessível para iniciantes em português.",True,Busca-Causa,Associacional,0.17391303924385643,0.5896098613739014,0.5013504028320312,0.7584223514516748
1,Como posso somar valores únicos de uma coluna em uma base de dados no Data Studio?,0_faculdade_fazer_emprego_trabalho,Use SUM(UNIQUE(coluna)) ou crie uma métrica com SUM_DISTINCT no Data Studio.,"
Utilize a função `COUNT_DISTINCT` no Data Studio para somar valores únicos de uma coluna.",True,Busca-Passos,Associacional,0.23999999507200007,0.6652134656906128,0.6754464507102966,0.4072810075041037
2,como criar uma pcb,0_faculdade_fazer_emprego_trabalho,Use softwares como KiCad ou EasyEDA; desenhe o esquema e gere os arquivos Gerber para fabricação.,"
Utilize a função `COUNT_DISTINCT` no Data Studio para somar valores únicos de uma coluna.",True,Busca-Passos,Associacional,0.06666666168888927,0.47417542338371277,0.23648014664649963,0.0037326891360021383
3,Onde encontro cursos bons e gratuitos? (Sem ser na enap),0_faculdade_fazer_emprego_trabalho,"Plataformas como Coursera, edX, Udemy (gratuitos com cupons) e YouTube têm ótimos cursos.","
- **Coursera:** Oferece diversos cursos gratuitos de universidades e instituições renomadas, com opção de certificado pago.
- **edX:** Similar ao Coursera, com foco em cursos de universidades de ponta.
- **FGV Online:** Cursos gratuitos em diversas áreas, com certificado opcional pago.
- **Veduca:** Plataforma com cursos de universidades brasileiras e internacionais, muitos gratuitos.
- **Prime Cursos:** Grande variedade de cursos online gratuitos com certificado pago.
- **Udemy:** Possui uma seção de cursos gratuitos, embora a maioria seja paga.
- **LinkedIn Learning:** Oferece um mês de acesso gratuito com diversos cursos.
- **Cursos Senac EAD:** Alguns cursos gratuitos e outros pagos, com foco em áreas técnicas e profissionalizantes.
- **Google Skillshop:** Cursos gratuitos sobre ferramentas do Google, como Google Ads e Google Analytics.
- **YouTube:** Canais especializados oferecem tutoriais e cursos completos gratuitamente.",True,Busca-Recomendação,Associacional,0.10752687931552786,0.5799820423126221,0.6533600687980652,0.8308779422676518
4,Preciso de um texto tipo capítulo de livro sobre como escrever um resumo de tcc,0_faculdade_fazer_emprego_trabalho,"Escreva de forma clara, resumindo objetivos, metodologia, resultados e conclusões; cite autores relevantes.","
- **Coursera:** Oferece diversos cursos gratuitos de universidades e instituições renomadas, com opção de certificado pago.
- **edX:** Similar ao Coursera, com foco em cursos de universidades de ponta.
- **FGV Online:** Cursos gratuitos em diversas áreas, com certificado opcional pago.
- **Veduca:** Plataforma com cursos de universidades brasileiras e internacionais, muitos gratuitos.
- **Prime Cursos:** Grande variedade de cursos online gratuitos com certificado pago.
- **Udemy:** Possui uma seção de cursos gratuitos, embora a maioria seja paga.
- **LinkedIn Learning:** Oferece um mês de acesso gratuito com diversos cursos.
- **Cursos Senac EAD:** Alguns cursos gratuitos e outros pagos, com foco em áreas técnicas e profissionalizantes.
- **Google Skillshop:** Cursos gratuitos sobre ferramentas do Google, como Google Ads e Google Analytics.
- **YouTube:** Canais especializados oferecem tutoriais e cursos completos gratuitamente.",True,Busca-Passos,Associacional,0.04301075028326988,0.38459572196006775,0.17437338829040527,0.037574439472019584
5,Como começar minha carreira de programação?,0_faculdade_fazer_emprego_trabalho,"Comece com lógica de programação e Python, depois pratique com projetos simples.","
1.  **Escolha uma linguagem:** Python, JavaScript e Java são boas opções para iniciantes.
2.  **Aprenda o básico:** Utilize plataformas online como Codecademy, Coursera, Udemy ou freeCodeCamp.
3.  **Pratique:** Desenvolva pequenos projetos para aplicar o conhecimento adquirido.
4.  **Crie um portfólio:** Hospede seus projetos no GitHub para demonstrar suas habilidades.
5.  **Networking:** Participe de comunidades online e eventos da área.
6.  **Busque oportunidades:** Comece com estágios, trabalhos freelance ou posições de nível júnior.",True,Busca-Passos,Associacional,0.15999999749688892,0.5067175626754761,0.501444935798645,0.570850786321969
6,"como lidar com as loucuras de arquivos pdf, engenharia de dados/extração de dados/integração",0_faculdade_fazer_emprego_trabalho,"Use ferramentas de ETL (Airbyte, Talend, Python com Pandas) e controle versões dos scripts.","Devido à natureza não estruturada dos PDFs, a extração de dados pode ser complexa. Utilize bibliotecas como PyPDF2, pdfminer.six ou Tesseract OCR (para PDFs digitalizados). Para engenharia de dados, considere converter PDFs para formatos estruturados (CSV, JSON) e implementar pipelines de ETL para integração com outros sistemas. Valide e limpe os dados extraídos, pois erros são comuns.",True,Busca-Passos,Associacional,0.15151514817263553,0.5674493908882141,0.3289812505245209,0.46291550093922795
7,"Tenho um conjunto de 4 pontos (coordenadas x e y), que formula do excel poderia usar para encontrar o 3º ponto desse conjunto, dado que tenho a inclinação da reta que interpola esses 4 pontos, os 2 primeiros e o último é igual ao terceiro?",0_faculdade_fazer_emprego_trabalho,Use a equação da reta: y - y1 = m(x - x1) e isole o ponto desconhecido com base na inclinação.,"

Considerando que os pontos são (x1, y1), (x2, y2), (x3, y3) e (x4, y4), a inclinação (m) é constante entre os pontos, e você conhece x1, x2, x4, y1, y2, y4, a fórmula para calcular y3 seria:

`y3 = y2 + m * (x3 - x2)`

Onde x3 pode ser calculado como:

`x3 = (x2 + x4) / 2`

Portanto, no Excel, você pode usar a seguinte fórmula combinada:

`=y2 + m * ((x2+x4)/2 - x2)`
",True,Busca-Recomendação,Intervencional,0.07317072801903647,0.6430421471595764,0.6678348183631897,0.4435700237182013
8,Growth marketing Hacker para jóias e moda feminina dados para os próximos anos,0_faculdade_fazer_emprego_trabalho,"Foque em marketing digital, TikTok, Instagram e personalização de conteúdo.","

Considerando que os pontos são (x1, y1), (x2, y2), (x3, y3) e (x4, y4), a inclinação (m) é constante entre os pontos, e você conhece x1, x2, x4, y1, y2, y4, a fórmula para calcular y3 seria:

`y3 = y2 + m * (x3 - x2)`

Onde x3 pode ser calculado como:

`x3 = (x2 + x4) / 2`

Portanto, no Excel, você pode usar a seguinte fórmula combinada:

`=y2 + m * ((x2+x4)/2 - x2)`
",True,Busca-Efeito,Associacional,0.027777775385802676,0.320404052734375,0.041285037994384766,0.0
9,Como lidar com o aumento constante do escopo do projeto?,0_faculdade_fazer_emprego_trabalho,Use gestão ágil e priorização; renegocie prazos para conter o escopo.,"

Considerando que os pontos são (x1, y1), (x2, y2), (x3, y3) e (x4, y4), a inclinação (m) é constante entre os pontos, e você conhece x1, x2, x4, y1, y2, y4, a fórmula para calcular y3 seria:

`y3 = y2 + m * (x3 - x2)`

Onde x3 pode ser calculado como:

`x3 = (x2 + x4) / 2`

Portanto, no Excel, você pode usar a seguinte fórmula combinada:

`=y2 + m * ((x2+x4)/2 - x2)`
",True,Busca-Passos,Intervencional,0.05479451798836567,0.30049946904182434,0.126397043466568,0.0
