,index,Question,Nome_Tópico,llama_categoria,llama_justificativa,llama_resposta,qwen_categoria,qwen_justificativa,groudthruth
74,598,voce consegui me apresentar um projeto de otimizaçao de processo em um estoque de peças de carro ?,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,nao e possivel responder objetivamente sem mais detalhes sobre o estoque e os processos,grau 3,pergunta vaga e opinativa,"Projeto para organização e controle para estoque de peças automotivas: 1. Estruture os processos internos; 2. Acerte na gestão de armazém: A armazenagem correta dos produtos da sua empresa de autopeças é fundamental para manter a sua qualidade. Por isso, deve-se categorizar todos os materiais de acordo com suas principais características e encontrar as melhores formas de alocá-los. 3. Contrate mão de obra qualificada. 4. Trabalhe com a previsibilidade dos produtos. 5. Adote um controle rigoroso de entradas e saídas. 6. Modernize os processos com o uso da tecnologia."
75,377,Posso reutilizar texto do pré-projeto no próprio TCC?,0_faculdade_fazer_emprego_trabalho,grau 1,pergunta objetiva,"nao, deve evitar reutilizar texto para manter originalidade e evitar plagiario",grau 1,pergunta tem resposta clara e verificavel,"Sim, você pode reutilizar o texto do pré-projeto no próprio TCC."
76,605,Em quais casos preciso devolver a bolsa PIBIC?,0_faculdade_fazer_emprego_trabalho,grau 1,regras claras,"em casos de desistencia do programa, violacao de regras ou falta de cumprimento de requisitos",grau 2,depende de circunstancias especificas,"Você deve devolver ao CNPq a bolsa PIBIC, em valores atualizados, quando não cumprir os requisitos e compromissos a seguir: 1 - Estar regularmente matriculado em curso de graduação.
2 - Ter vínculo empregatício e não se dedicar integralmente às atividades acadêmicas e de pesquisa.
3 - Não for selecionado e indicado pelo orientador. 
4 - Não apresentar no seminário anual sua produção científica, sob a forma de pôsteres, resumos e/ou painéis.
5 - Nas publicações e trabalhos apresentados, não fizer referência a sua condição de bolsista do CNPq.
6 - Estar recebendo outra modalidade de bolsa, sendo vedada a acumulação desta com bolsas de outros Programas do CNPq ou bolsas de outras instituições."
77,473,Como iniciar na área de análise de dados ?,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,"estudar estatistica, programacao e ferramentas de analise. buscar experiencias praticas e networking",grau 2,precisa de contexto pessoal,"Para iniciar na área de análise de dados é ideal que você saiba ou esteja disposto a aprender a programar, seja curioso e tenha atenção a detalhes. Não é imprescindível, mas ajuda ter conhecimentos em estatística, matemática e física."
78,787,Oi eu gostaria de saber como posso melhorar meu foco em realizar tarefas de trabalho,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,"existem varias tecnicas como definir metas claras, eliminar distrações e manter uma rotina",grau 3,pergunta opinativa e aberta,"Existem várias técnicas de manter o foco nas tarefas, inclusive o método pomodoro, em que você alterna períodos de foco e pausa. Independente de técnicas, ajuda silenciar as notificações do telefone celular e outras distrações, quando possível."
79,662,O que significa educar e quais as estratégias para atrair os pais a escola,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,a pergunta mistura conceitos de educacao e atracao de pais para escola sem foco claro,grau 3,pergunta abrange dois temas distintos e nao tem foco especifico,"Educar significa transmitir conhecimento técnico e relativo a comportamentos. Uma maneira de aproximar os pais da escola é criar Conselhos de Pais, onde serão discutidos assuntos pertinentes à escola e planejados os eventos. Os próprios eventos já aproximam os pais das escolas."
80,328,como eu faço para trabalhar com a inteligência artificial?,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,"estude programacao, matematica e cursos especificos de ia. busque experiencias praticas e networking na area.",grau 2,precisa de contexto pessoal,"No momento atual há fácil acesso à ferramentas de inteligência artificial, o que facilita bastante o trabalho de quem quer se inserir no mercado de trabalho em inteligência artificial. Assim como todo ramo de mercado,  especializar-se na área e adquirir experiência acelera o processo."
81,448,"Minha div .container é um grid 1fr 1fr 1fr. Como faço para as divs dentro dela se extenderem ate preencher .container tanto vertical quanto horizontal?
",0_faculdade_fazer_emprego_trabalho,grau 1,pergunta objetiva sobre css,nao e possivel responder dentro do contexto especificado,grau 3,pergunta nao relacionada ao tema e especifica de css,
82,391,Como falar melhor em público sem perder as ideias,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,existem varias tecnicas como praticar e se preparar bem,grau 3,pergunta opinativa e aberta,"Para falar em público sem perder as ideias sempre ajuda ter domínio e a segurança sobre o que você vai falar. Além disso, é importante manter a calma, já que o nervosismo atrapalha o desenvolvimento das ideias."
83,734,O que poderia ocorrer a economia mundial se deixasse de existir bolsa de valores e ações de empresas?,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,a resposta depende de muitos fatores e efeitos complexos,grau 3,pergunta vaga e complexa,"Se não mais existisse bolsa de valores e ações, aumentaria a instabilidade e a sanidade financeira das empresas"
84,434,"Aplicação PDV para mercado com C# / .NET Qual o padrão do mercado para a UI, ainda é Windows Forms ? Você me indica outra opção ?",0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,nao ha uma resposta objetiva unica,grau 3,pergunta vaga e opinativa,"O padrão de mercado para UI em aplicações PDV em C#/.NET não é mais apenas o Windows Forms. Existem outras soluções tecnológicas, como .NET MAUI e UWP."
85,595,quais as melhores formas de usar chat gpt para um analista de venture capital no brasil?,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,depende das necessidades especificas do analista e do contexto do mercado,grau 3,pergunta opinativa e aberta,
86,252,2 / 2me ajude a planejar um projeto com arduino para coleta de dados em uma solução em nuvem afim de fazer analise de dados,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,nao e possivel responder objetivamente sem mais detalhes,grau 3,pergunta vaga e opinativa,
87,772,"Saindo da vida acadêmica e tentando o mercado, como começar?",0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,existem varias abordagens dependendo do individuo e do mercado,grau 3,pergunta opinativa e aberta,"O primeiro passo é atualizar o currículo. Caso você seja profissional liberal, o ideal é providenciar o marketing dos serviços que você irá oferecer. Caso a sua carreira envolva trabalhar  em empresas, você pode identificar processos de seleção para participar. "
88,459,quero criar uma pesquisa onde as respostas serão sim ou não e plotar o resultado em um gráfico de pizza. Como posso fazer isso?,0_faculdade_fazer_emprego_trabalho,grau 1,pergunta objetiva,a pergunta nao se encaixa no tema especificado e requer detalhes tecnicos para resposta,grau 3,pergunta nao relacionada ao tema e excessivamente aberta,"Coletadas as respostas, há inúmeras formas de fazer isso. O gráfico pode ser plotado a partir de várias ferramentas, como Excel, libreoffice calc, além de programação em python com as bibliotecas de visualização disponíveis."
89,491,Contrataram uma babá mas parecem querer uma governanta?,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,nao relacionado ao tema faculdade fazer emprego trabalho,grau 3,pergunta opinativa e fora do tema,
90,705,Usar Ç nas senhas é uma proteção adicional contra hackers?,0_faculdade_fazer_emprego_trabalho,grau 1,pergunta objetiva,nao se aplica,grau 3,pergunta nao relacionada ao tema e opinativa,
91,289,"Esse é o meu template de PRD, ele contém as seguintes seções:

1. Constatação do Problema
2. Objetivo
3. Pontos de Dor
4. Ideia
5. Necessidades técnicas
6. Métricas e critérios de sucesso

Logo acima eu compartilhei a estrutura de um template de PRD. Você pode revisar meu template e sugerir melhorias para ele?",0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,nao e possivel responder objetivamente sem contexto especifico do prd,grau 3,pergunta opinativa e aberta,
92,220,"Você treina um modelo de regressão ridge, recebe R^2 de 1 em seus dados de treinamento e recebe R^2 de 0 em seus dados de validação; o que você deve fazer?

",0_faculdade_fazer_emprego_trabalho,grau 1,problema de overfitting,nao se aplica,grau 3,a pergunta nao esta relacionada ao tema faculdade_fazer_emprego_trabalho,
93,740,O que posso fazer pra entrar no mestrado?,0_faculdade_fazer_emprego_trabalho,grau 1,pergunta clara e objetiva,,,,"Depende da profissão e da área específica de estudo, mas o primeiro passo seria identificar as universidades que oferecem mestrado e se informar sobre o processo seletivo."
94,7,Como exibir múltiplas linguagens no perfil do LinkedIn sem perder valor profissional?,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,depende do contexto profissional e das habilidades individuais,grau 3,pergunta opinativa e aberta,
95,405,quais são os públicos alvos para vender plano odontológico,0_faculdade_fazer_emprego_trabalho,grau 1,pergunta objetiva,nao se aplica,grau 3,pergunta vaga e nao relacionada ao tema,"Cuidar dos dentes é importante por motivos de saúde e estética. Públicos-alvo potenciais para o consumo de planos odontológicos podem ser pessoas que trabalham nos setores de saúde bucária, moda e design, crianças e idosos."
96,184,Como lidar com um fim de contrato?,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,depende da situacao especifica e das preferencias pessoais,grau 3,pergunta opinativa e aberta,Depende. Qual o tipo de contrato? Qual a importância desse contrato para você? A importância é pessoal ou profissional? Emocional ou financeira? Não há como responder.
97,13,Como achar ideas de projetos interessantes para construir ou contribuir?p,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,explorar interesses pessoais e tendencias do mercado,grau 3,pergunta opinativa e aberta,
98,199,"Liste 10 profissionais do marketing digital, por exemplo: gestor de tráfego pago, especialista em email marketing, copywriter, etc.... Depois crie uma ideia de vídeo colaborativo comigo (ensinando chatgpt é inteligência artificial) e com um dos profissionais da lista.",0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,nao e possivel responder objetivamente pois a pergunta envolve opinioes e criacao de conteudo,grau 3,pergunta vaga e opinativa,
99,657,o que um analista de venture capital deve aprender para investir em empresas de web3,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,"deve aprender sobre tecnologias blockchain, criptomoedas, smart contracts e tendencias de mercado",grau 2,depende de contexto especifico,
100,751,Como otimizar buscas por chamadas em aberto para publicação em revista?,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,depende das preferencias e objetivos do autor,grau 3,pergunta vaga e opinativa,"Há sites que indicam as chamadas em aberto para publicação em revistas, mas é preciso procurar algum site relativo ao tema de buscado."
101,593,"Sou estrangeiro formado e falo inglês e português, Qual curso de curta duração ou estudo devo fazer para ter um emprego com salário decente e folga nos fins de semana?",0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,"a escolha depende do seu interesse, habilidades e demanda do mercado local",grau 3,pergunta depende de variaveis pessoais e de mercado,
