,index,Question,lucas_categoria,lucas_justificativa,lucas_resposta,Nome_Tópico,llama_categoria,llama_justificativa,llama_resposta,qwen_categoria,qwen_justificativa,groudthruth
0,612,Por que temos tão pouco conteúdo em pt-br sobre FPGA/SoC?,2,"Precisa de mais contexto para descobrir do que a pergunta se refere, mas ainda e objetiva",Há pouco conteúdo em pt-BR sobre FPGA/SoC porque é um nicho técnico dominado por materiais em inglês e com pouca comunidade local.,0_faculdade_fazer_emprego_trabalho,grau 2,falta de dados especificos,"a quantidade de conteudo depende de varios fatores como interesse do publico, especializacao dos autores e demanda do mercado",grau 3,pergunta opinativa e aberta,
1,27,Como posso somar valores únicos de uma coluna em uma base de dados no Data Studio?,1,,Use SUM(UNIQUE(coluna)) ou crie uma métrica com SUM_DISTINCT no Data Studio.,0_faculdade_fazer_emprego_trabalho,grau 1,pergunta objetiva,nao se aplica,grau 3,pergunta nao relacionada ao tema,
2,303,como criar uma pcb,2,O que é pcb? Precisa de mais contexto para ter uma resposta precisa,Use softwares como KiCad ou EasyEDA; desenhe o esquema e gere os arquivos Gerber para fabricação.,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,nao se aplica,grau 3,pergunta nao relacionada ao tema e muito aberta,
3,564,Onde encontro cursos bons e gratuitos? (Sem ser na enap),2,Cursos sobre o que? Pode ser mais objetiva,"Plataformas como Coursera, edX, Udemy (gratuitos com cupons) e YouTube têm ótimos cursos.",0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,existem varias plataformas online com cursos gratuitos mas a qualidade pode variar,grau 3,pergunta vaga e opinativa,
4,76,Preciso de um texto tipo capítulo de livro sobre como escrever um resumo de tcc,1,,"Escreva de forma clara, resumindo objetivos, metodologia, resultados e conclusões; cite autores relevantes.",0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,nao e possivel responder de forma objetiva a essa pergunta,grau 3,pergunta pede um texto extenso e nao uma resposta objetiva,
5,361,Como começar minha carreira de programação?,2,"Pode existir uma resposta objetiva, mas precisa de mais contexto. Que linguagem? etc","Comece com lógica de programação e Python, depois pratique com projetos simples.",0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,"estude linguagens de programacao, faça projetos praticos e busque oportunidades de estagio ou trabalho",grau 2,depende de contexto pessoal,
6,565,"como lidar com as loucuras de arquivos pdf, engenharia de dados/extração de dados/integração",3,Pergunta aberta e sem objetividade,"Use ferramentas de ETL (Airbyte, Talend, Python com Pandas) e controle versões dos scripts.",0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,nao ha uma resposta objetiva para lidar com todas as situacoes de arquivos pdf em engenharia de dados,grau 3,pergunta vaga e opinativa,
7,522,"Tenho um conjunto de 4 pontos (coordenadas x e y), que formula do excel poderia usar para encontrar o 3º ponto desse conjunto, dado que tenho a inclinação da reta que interpola esses 4 pontos, os 2 primeiros e o último é igual ao terceiro?",1,Pergunta tecnica e objetiva,Use a equação da reta: y - y1 = m(x - x1) e isole o ponto desconhecido com base na inclinação.,0_faculdade_fazer_emprego_trabalho,grau 1,formula especifica,nao e possivel responder dentro do contexto especificado,grau 3,pergunta nao relacionada ao tema e muito especifica,
8,379,Growth marketing Hacker para jóias e moda feminina dados para os próximos anos,1,Objetiva,"Foque em marketing digital, TikTok, Instagram e personalização de conteúdo.",0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,nao e possivel responder objetivamente sem mais contexto,grau 3,pergunta vaga e opinativa,
9,80,Como lidar com o aumento constante do escopo do projeto?,3,Muito aberta,Use gestão ágil e priorização; renegocie prazos para conter o escopo.,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,nao se aplica,grau 3,pergunta nao relacionada ao tema e subjetiva,
